name,physical/special,moveset1,crit1,moveset2,crit2,base_crit
absol,physical,night_slash/pursuit,yes/yes,psycho_cut/sucker_punch,yes/yes,yes
aegislash,physical,sacred_sword/shadow_claw,no/yes,wide_guard/iron_head,no/yes,yes
azumarill,physical,play_rough/water_pulse,yes/yes,whirpool/aqua_tail,yes/yes,yes
blastoise,special,hydro_pump/water_spout,no/no,surf/rapid_spin,yes/yes,no
blissey,special,egg_bomb/helping_hand,no/no,soft_boiled/safeguard,no/no,no
buzzwole,physical,lunge/smack_down,no/no,leech_life/super_power,no/no,yes
charizard,physical,flamethrower/fire_punch,no/no,fire_blast/flare_blitz,no/no,yes
cinderace,physical,pyro_ball/blaze_kick,no/yes,flame_charge/feint,no/no,yes
cramorant,special,surf/dive,no/no,hurricane/air_slash,no/no,no
crustle,physical,rock_tomb/shell_smash,no/no,stealth_rock/x_scissor,no/yes,no
decidueye,physical,razor_leaf/sprit_shackle,yes/no,leaf_storm/shadow_sneak,no/no,yes
delphox,special,fire_blast/mystical_fire,no/no,fire_spin/flame_charge,no/no,no
dodrio,physical,tri_attack/drill_peck,yes/yes,agility/jump_kick,no/no,yes
dragonite,physical,dragon_dance/extreme_speed,no/no,hyper_beam/outrage,no/no,yes
duraludon,physical,flash_cannon/dragon_pulse,yes/no,dragon_tail/stealth_rock,no/no,yes
eldegoss,special,pollen_puff/leaf_tornado,no/no,cotton_guard/cotton_spore,no/no,no
espeon,special,psyshock/stored_power,no/no,psybeam/future_sight,no/no,no
garchomp,physical,dig/dragon_rush,no/no,earthquake/dragon_claw,no/no,yes
gardevoir,special,psychic/moonblast,no/no,psyshock/future_sight,no/no,no
gengar,special,shadow_ball/sludge_bomb,no/no,dream_eater/hex,no/no,no
glaceon,special,icicle_spear/icy_wind,no/yes,ice_shard/freeze_dry,yes/no,yes
greedent,physical,bullet_seed/belch,no/no,stuff_cheeks/covet,no/no,no
greninja,physical,water_shuriken/surf,no/no,double_team/smokescreen,no/no,yes
hoopa,special,phantom_force/shadow_ball,no/no,hyperspace_hole/trick,no/no,no
lucario,physical,extreme_speed/power_up_punch,no/no,bone_rush/close_combat,no/no,yes
machamp,physical,close_combat/cross_chop,no/yes,dynamic_punch/submission,no/no,yes
mamoswine,physical,icicle_crash/ice_fang,no/no,high_horsepower/earthquake,no/no,no
mr_mime,special,confusion/psychic,no/no,barrier/power_swap,no/no,no
ninetales,special,avalanche/dazzling_gleam,no/no,blizzard/aurora_veil,no/no,no
pikachu,special,electro_ball/thunder,no/no,volt_tackle/thunderbolt,no/no,no
slowbro,special,scald/surf,no/no,amnesia/telekinesis,no/no,no
snorlax,physical,heavy_slam/flail,no/no,block/yawn,no/no,no
sylveon,special,mystical_fire/hyper_voice,no/no,draining_kiss/calm_mind,no/no,no
talonflame,physical,flame_charge/aerial_ace,no/no,fly/brave_bird,no/no,yes
trevenant,physical,wood_hammer/curse,no/no,horn_leech/pain_split,no/no,no
tsareena,physical,triple_axel/stomp,no/no,trop_kick/grassy_glide,no/no,yes
tyranitar,physical,dark_pulse/stone_edge,no/no,ancient_power/sand_tomb,no/no,yes
venusaur,special,sludge_bomb/giga_drain,no/no,solar_beam/petal_dance,no/no,no
wigglytuff,special,double_slap/dazzling_gleam,no/no,rollout/sing,no/no,no
zeraora,physical,volt_switch/spark,no/yes,discharge/wild_charge,no/no,yes
mew,special,electro_ball/solar_beam/surf,no/no/no,coaching/light_screen/agility,no/no/no,no
scyther/scizor,physical,dual_wingbeat/bullet_punch,no/no,double_hit/swords_dance,no/no,yes
